time,blood_volume_L,extracellular_fluid_volume,mean_arterial_pressure_MAP,glomerular_pressure,GFR_ml_min,albumin_excretion_rate,plasma_renin_activity,dailyUGE,dailyNaExcretion,dailyWaterExcretion,i
Inf,-0.122754764,-0.025711163,-0.141952633,-0.150138982,-0.329252852,-0.940657545,0.007407379,Inf,Inf,Inf,0
Inf,-0.043295911,-0.206807311,-0.049319459,-0.048369872,-0.112220338,-0.321202007,0.001334604,Inf,Inf,Inf,0
Inf,0.008331163,-0.086203836,0.008537342,0.010109743,0.014888956,0.15406458,-0.000288222,Inf,Inf,Inf,0
Inf,-0.107795281,-0.110072782,-0.12743119,-0.13455194,-0.352209697,-0.99266462,0.019890948,Inf,Inf,Inf,0
Inf,-0.060096167,-0.162860867,-0.073202196,-0.071370238,-0.20582965,-0.672997587,0.004700773,Inf,Inf,Inf,0
Inf,0.008378731,-0.097608559,0.009076955,0.010750048,0.018078596,0.39507856,-0.000942631,Inf,Inf,Inf,0
Inf,-0.124227926,-0.004118651,-0.136272056,-0.134487805,-0.233130096,-0.329490565,0.006746109,Inf,Inf,Inf,0
Inf,0.014559189,-0.079226463,0.016580132,0.019003476,0.048133082,0,-0.002348892,Inf,Inf,Inf,0
Inf,-0.002391738,-0.085361837,-0.00397398,-0.003751482,-0.018260883,-0.044516344,0.000380232,Inf,Inf,Inf,0
Inf,-0.001142006,-0.093206047,-0.002297033,-0.000427072,-0.019677226,0,0.00102314,Inf,Inf,Inf,0
Inf,-0.05496992,-0.25067525,-0.061210982,-0.058267682,-0.126226629,-0.230291931,-0.05368803,Inf,Inf,Inf,0
Inf,-0.099626948,-0.041574741,-0.117327274,-0.124615005,-0.31209823,-0.925027517,-0.011834604,Inf,Inf,Inf,0
Inf,-0.032604434,-0.210264657,-0.038597671,-0.036836553,-0.101346292,-0.360805904,-0.035055675,Inf,Inf,Inf,0
Inf,-0.052890429,-0.245928801,-0.064485368,-0.063182556,-0.191460688,-0.904302305,0.004948684,Inf,Inf,Inf,0
Inf,0.014161605,-0.039025971,0.018236077,0.019415438,0.096059429,6.809112202,-0.009483268,Inf,Inf,Inf,0
Inf,-0.078469467,-0.096388862,-0.095710291,-0.096719902,-0.273764297,-0.760177959,-0.038999546,Inf,Inf,Inf,0
Inf,-0.096466403,-0.141400249,-0.110775115,-0.113129236,-0.241089307,-0.655745405,7.65E-05,Inf,Inf,Inf,0
Inf,-0.054219099,-0.160178308,-0.068460729,-0.070381218,-0.250154806,-0.850385461,0.034351563,Inf,Inf,Inf,0
